open,close,min,max
1.114255,1.114235,1.114145,1.114275
1.114245,1.114415,1.114245,1.114415
1.114395,1.114135,1.114105,1.114425
1.114135,1.114215,1.114115,1.114235
1.114205,1.114295,1.114205,1.114315
1.114285,1.114335,1.114215,1.114335
1.114325,1.114295,1.114265,1.114355
1.114295,1.114185,1.114135,1.114295
1.114185,1.114185,1.114085,1.114205
1.114175,1.114235,1.114075,1.114265
1.114235,1.114255,1.114225,1.114315
1.114255,1.114475,1.114225,1.114475
1.114475,1.114495,1.114405,1.114535
1.114485,1.114445,1.114405,1.114485
1.114445,1.114415,1.114375,1.114495
1.114435,1.114535,1.114315,1.114555
1.114495,1.114485,1.114445,1.114555
1.114535,1.114765,1.114535,1.114795
1.114785,1.114755,1.114735,1.114835
1.114745,1.114825,1.114745,1.114895
1.114825,1.114805,1.114705,1.114835
1.114805,1.114915,1.114805,1.114955
1.114955,1.114865,1.114835,1.114965
1.114855,1.114765,1.114745,1.114865
1.114765,1.114745,1.114675,1.114795
1.114765,1.114955,1.114755,1.114955
1.114965,1.114945,1.114935,1.115045
1.114945,1.114825,1.114825,1.114975
1.114825,1.114915,1.114825,1.114975
1.114905,1.114795,1.114795,1.114935
1.114785,1.114925,1.114785,1.114925
1.114935,1.114995,1.114895,1.114995
1.114995,1.114855,1.114815,1.114995
1.114845,1.114735,1.114715,1.114865
1.114725,1.114915,1.114635,1.114915
1.114935,1.114905,1.114865,1.114975
1.114905,1.114995,1.114895,1.114995
1.115005,1.115015,1.114965,1.115115
1.115015,1.114895,1.114875,1.115015
1.114895,1.114825,1.114825,1.114995
1.114825,1.114765,1.114765,1.114875
1.114765,1.114665,1.114645,1.114825
1.114675,1.114685,1.114625,1.114695
1.114675,1.114685,1.114665,1.114825
1.114675,1.114865,1.114625,1.114865
1.114855,1.114845,1.114785,1.114905
1.114845,1.114945,1.114845,1.114985
1.114915,1.115065,1.114885,1.115075
1.115065,1.115225,1.115065,1.115245
1.115215,1.115345,1.115215,1.115375
1.115335,1.115555,1.115335,1.115585
1.115555,1.115495,1.115465,1.115565
1.115505,1.115245,1.115245,1.115515
1.115225,1.115205,1.115165,1.115315
1.115205,1.115175,1.115115,1.115245
1.115175,1.115345,1.115165,1.115365
1.115345,1.115445,1.115345,1.115465
1.115455,1.115505,1.115455,1.115625
1.115485,1.115405,1.115375,1.115495
1.115395,1.115215,1.115215,1.115415
1.115205,1.115165,1.115155,1.115225
1.115165,1.115135,1.115135,1.115225
1.115125,1.115285,1.115085,1.115285
1.115285,1.115415,1.115215,1.115435
1.115445,1.115475,1.115425,1.115505
1.115455,1.115415,1.115375,1.115555
1.115435,1.115385,1.115315,1.115435
1.115375,1.115375,1.115365,1.115455
1.115375,1.115255,1.115245,1.115395
1.115275,1.115365,1.115245,1.115365
1.115365,1.115265,1.115265,1.115375
1.115255,1.115345,1.115245,1.115355
1.115335,1.115425,1.115335,1.115445
1.115445,1.115355,1.115355,1.115475
1.115355,1.115485,1.115355,1.115485
1.115495,1.115475,1.115385,1.115565
1.115475,1.115365,1.115365,1.115485
1.115365,1.115235,1.115215,1.115385
1.115215,1.115295,1.115215,1.115365
1.115215,1.114975,1.114945,1.115225
1.114985,1.115025,1.114955,1.115065
1.115035,1.114975,1.114975,1.115125
1.114965,1.114915,1.114905,1.115065
1.114915,1.114845,1.114815,1.114985
1.114825,1.114925,1.114735,1.114925
1.114925,1.114995,1.114925,1.115075
1.114985,1.114765,1.114755,1.114995
1.114755,1.114735,1.114695,1.114795
1.114735,1.114565,1.114535,1.114775
1.114535,1.114685,1.114455,1.114685
1.114675,1.114645,1.114635,1.114715
1.114655,1.114695,1.114655,1.114775
1.114695,1.114685,1.114675,1.114755
1.114695,1.114695,1.114635,1.114795
1.114695,1.114715,1.114665,1.114775
